FFT_analysis (Idc=2e-06) X,FFT_analysis (Idc=2e-06) YRe,FFT_analysis (Idc=2e-06) YReImag
38000000,1.245453101091418e-08,-3.812774489511633e-09
38500000,1.242433046211509e-08,-4.051414983637462e-09
39000000,1.238585317164757e-08,-4.289494404322347e-09
39500000,1.233917986112499e-08,-4.526722728312103e-09
40000000,-3.173089669664855e-08,6.720655669163312e-08
40500000,1.222147493328045e-08,-4.997177778846124e-09
41000000,1.215060231397458e-08,-5.229835261126687e-09
41500000,1.207191952633315e-08,-5.460408437749985e-09
42000000,1.198549581828513e-08,-5.688618103582726e-09
42500000,1.189145311615419e-08,-5.914191344879756e-09
43000000,1.178992743027871e-08,-6.136871358753341e-09
43500000,1.168102635792503e-08,-6.356449614152094e-09
44000000,-7.953521605255098e-09,5.121564837058559e-08
44500000,1.144170717483814e-08,-6.785271247998773e-09
45000000,1.131148110686706e-08,-6.994028912153325e-09
45500000,1.117441068318765e-08,-7.198776921082813e-09
46000000,1.103062420170624e-08,-7.399267178114783e-09
46500000,1.08802455973933e-08,-7.595288688735453e-09
47000000,1.072341596732527e-08,-7.786618720879928e-09
47500000,1.05602337875476e-08,-7.973032593697332e-09
48000000,2.346918292532154e-08,4.94931368590184e-07
48500000,1.021561943235648e-08,-8.330404184857123e-09
49000000,1.003442325304201e-08,-8.500827677221894e-09
49500000,9.847469731648772e-09,-8.665496381389486e-09
50000000,9.65497593279297e-09,-8.824174405763607e-09
50500000,9.457103995159812e-09,-8.976659518835254e-09
51000000,9.254034560985944e-09,-9.122740056783406e-09
51500000,9.04593430661596e-09,-9.262173476313122e-09
52000000,4.981857088864326e-08,-1.431158658941354e-08
52500000,8.615499740835432e-09,-9.520444308358587e-09
53000000,8.393552876922713e-09,-9.638812448935842e-09
53500000,8.167352240894118e-09,-9.74968278413073e-09
54000000,7.937179479823427e-09,-9.852839889393788e-09
54500000,7.703274901768039e-09,-9.948077481680286e-09
55000000,7.465882734138678e-09,-1.003517459827216e-08
55500000,7.225305891558921e-09,-1.011386472358053e-08
56000000,-4.777090728818117e-08,-4.872842492022812e-08
56500000,6.735725355419033e-09,-1.024536456457043e-08
57000000,6.487421877330367e-09,-1.029778952697686e-08
57500000,6.237200752362962e-09,-1.034100353493003e-08
58000000,5.985455307360997e-09,-1.037486990869131e-08
58500000,5.732579275885165e-09,-1.039922387799505e-08
59000000,5.478973436875883e-09,-1.041392556431572e-08
59500000,5.225102089533976e-09,-1.041883060153186e-08
60000000,1.003938290615402e-08,-3.241051865429164e-08
60500000,4.71819956432354e-09,-1.039884195007944e-08
61000000,4.466152739673477e-09,-1.037386962935706e-08
61500000,4.215714986127094e-09,-1.033880651838563e-08
62000000,3.967371289677953e-09,-1.029368114836979e-08
62500000,3.72163976666293e-09,-1.023852372257343e-08
63000000,3.479038825975963e-09,-1.017340338255474e-08
63500000,3.24010666975227e-09,-1.009845727911889e-08
64000000,-1.450897890257304e-07,1.882308849733972e-08
64500000,2.775179721319719e-09,-9.91954483310969e-09
65000000,2.550171371988918e-09,-9.816019203246693e-09
65500000,2.330791782388302e-09,-9.703416750409118e-09
66000000,2.117454942552802e-09,-9.581976709144667e-09
66500000,1.910600191821112e-09,-9.451965056449749e-09
67000000,1.710645934354189e-09,-9.31364430953825e-09
67500000,1.518018431224804e-09,-9.167347721397558e-09
68000000,3.026843751393417e-07,7.939442178213018e-07
68500000,1.156462004541303e-09,-8.851740601016617e-09
69000000,9.883194971488883e-10,-8.683190497905681e-09
69500000,8.29215445221148e-10,-8.508010112406345e-09
70000000,6.795119978141215e-10,-8.32656194322453e-09
70500000,5.396318649066246e-10,-8.139291994293117e-09
71000000,4.099648155724513e-10,-7.946691840956736e-09
71500000,2.908408192499152e-10,-7.74930417796415e-09
72000000,1.169834337286028e-07,-2.870565564290612e-08
72500000,8.566969059913089e-11,-7.342389231372559e-09
73000000,1.516685147848431e-13,-7.13402103400961e-09
73500000,-7.36737968739428e-11,-6.923285937597821e-09
74000000,-1.35603431156128e-10,-6.710824759711206e-09
74500000,-1.854861097346948e-10,-6.497332838843279e-09
75000000,-2.232152089005483e-10,-6.283532734499586e-09
75500000,-2.48765367279664e-10,-6.070122520252589e-09
76000000,5.227313207744961e-08,5.002861629256877e-08
76500000,-2.632529547985178e-10,-5.647607706805868e-09
77000000,-2.523227960004244e-10,-5.439951281940803e-09
77500000,-2.295354728669062e-10,-5.235708156457798e-09
78000000,-1.950680545797653e-10,-5.035616115492434e-09
78500000,-1.49197052141919e-10,-4.840407760184209e-09
79000000,-9.225966350107253e-11,-4.650797982362534e-09
79500000,-2.462883168364725e-11,-4.467418171544786e-09
80000000,1.766883424585607e-07,-7.867056103676287e-08
80500000,1.408805732634805e-10,-4.122076570224216e-09
81000000,2.378820021116042e-10,-3.961316310178733e-09
81500000,3.436142196610317e-10,-3.809175233043281e-09
82000000,4.575289432689057e-10,-3.666201637743136e-09
82500000,5.790296782131853e-10,-3.532861044314128e-09
83000000,7.074762017653033e-10,-3.409594018951198e-09
83500000,8.422788185403805e-10,-3.296773360399214e-09
84000000,-1.591657477773164e-06,1.368339222008357e-06
84500000,1.127820060894907e-09,-3.103864995470323e-09
85000000,1.27725180435101e-09,-3.024420221612584e-09
85500000,1.430168192774206e-09,-2.956544252107276e-09
86000000,1.585761089176959e-09,-2.9004709990966e-09
86500000,1.743250897847535e-09,-2.856294267383175e-09
87000000,1.901856867638045e-09,-2.824066436670475e-09
87500000,2.060833955555153e-09,-2.803819744937299e-09
88000000,7.493974438350071e-08,6.785592350791876e-08
88500000,2.376632579183089e-09,-2.798891555519766e-09
89000000,2.531883102673762e-09,-2.814000219519222e-09
89500000,2.684431217252535e-09,-2.840531549746227e-09
90000000,2.833503811601369e-09,-2.878229489448092e-09
90500000,2.978399505422033e-09,-2.926775506314186e-09
91000000,3.118437840658119e-09,-2.985799734292131e-09
91500000,3.252979577476356e-09,-3.054926697742972e-09
92000000,-6.153620086168385e-08,6.279108867405391e-08
92500000,3.503182356046413e-09,-3.221474982505569e-09
93000000,3.617685901389605e-09,-3.317924757737961e-09
93500000,3.724503191871549e-09,-3.422463286056746e-09
94000000,3.823156097992322e-09,-3.534484265649802e-09
94500000,3.913244645692236e-09,-3.653392779620554e-09
95000000,3.994405637186385e-09,-3.778570688676001e-09
95500000,4.066275458887806e-09,-3.909394770313921e-09
96000000,3.791836858745654e-08,6.169615530808188e-08
96500000,4.181287115197708e-09,-4.185248542376528e-09
97000000,4.223997324152203e-09,-4.328900584051032e-09
97500000,4.25662927317969e-09,-4.475538657959872e-09
98000000,4.279104160552026e-09,-4.624425709527957e-09
98500000,4.291399871208727e-09,-4.774881241342995e-09
99000000,4.293535316091873e-09,-4.926241744175169e-09
99500000,4.285532980033066e-09,-5.077853302373986e-09
100000000,-2.575462186248814e-05,-4.157943516096431e-05
100500000,4.239526805390346e-09,-5.379035142866041e-09
101000000,4.202013877033717e-09,-5.527292354846899e-09
101500000,4.155110579120177e-09,-5.673278364654553e-09
102000000,4.099072261768763e-09,-5.8164103834903e-09
102500000,4.034205089874216e-09,-5.956127390539552e-09
103000000,3.960866813102199e-09,-6.091915179964358e-09
103500000,3.879442946078639e-09,-6.22327687020264e-09
104000000,7.039164820739271e-08,-2.725892341662544e-08
104500000,3.693967029654231e-09,-6.471209797977924e-09
105000000,3.590815571464584e-09,-6.587006719138363e-09
105500000,3.48128021563914e-09,-6.696901302831968e-09
106000000,3.365847492014209e-09,-6.80064625364065e-09
106500000,3.244976048613092e-09,-6.898005917667528e-09
107000000,3.119125884191234e-09,-6.988781867027476e-09
107500000,2.988797954254751e-09,-7.072793505528282e-09
108000000,-6.466625848246911e-08,-6.482526819007117e-08
108500000,2.716357319717276e-09,-7.220093731833121e-09
109000000,2.575191295993514e-09,-7.283259267629407e-09
109500000,2.431324093613924e-09,-7.339316632559484e-09
110000000,2.28516123503722e-09,-7.388290834663207e-09
110500000,2.137111784001713e-09,-7.430186316814159e-09
