FFT_analysis X,FFT_analysis YRe,FFT_analysis YReImag
1150500000,9.360769757589395e-15,3.589907241039059e-15
1151000000,1.272267639935428e-14,-5.143031977701911e-16
1151500000,3.212210112437177e-15,3.623962365368415e-14
1152000000,-1.936201977622134e-07,-2.772650705547156e-07
1152500000,-3.740656536743523e-14,6.166583567403805e-15
1153000000,-5.157260721336768e-15,-1.48717500263538e-14
1153500000,-7.595458457623168e-15,-1.151968316746617e-14
1154000000,-2.429475677139402e-15,-1.008271670213812e-14
1154500000,2.048294927417554e-15,-1.281732275772668e-14
1155000000,-9.770679663489816e-16,-1.4914033031463e-14
1155500000,3.434214173788322e-14,-4.814688308994062e-15
1156000000,-2.045894844818232e-08,-1.210383866634759e-08
1156500000,5.219242996112038e-15,3.443170347708532e-14
1157000000,-1.375641983169085e-14,3.346456698390901e-15
1157500000,-9.742883517432606e-15,6.113113841695025e-15
1158000000,-7.937528145053806e-15,1.160712156567433e-15
1158500000,-7.256732645515137e-15,-2.142460531805509e-15
1159000000,-9.844769754336111e-15,-2.45801341785469e-15
1159500000,7.124211133951719e-15,-1.43203779878387e-14
1160000000,-8.389869587234773e-08,-7.132155299705794e-09
1160500000,1.312094307524436e-14,1.093527856640749e-14
1161000000,-7.287633503177743e-15,7.437749906177654e-15
1161500000,-4.91453266926187e-15,6.226759267153387e-15
1162000000,-6.85555624494306e-15,3.393085709665272e-15
1162500000,-9.586633615617539e-15,-2.298634216774728e-16
1163000000,-1.237363500113239e-14,2.626174415954024e-15
1163500000,-4.160276339031593e-15,-2.664566787892477e-14
1164000000,-1.182522195773049e-07,1.755594098684915e-08
1164500000,2.717086321571222e-14,-7.994526731210058e-16
1165000000,8.252737308650643e-16,1.50586186181206e-14
1165500000,1.339124060146871e-15,1.202048535679528e-14
1166000000,-2.94597213980125e-15,1.111459248438116e-14
1166500000,-1.023799857842517e-14,1.247979497321541e-14
1167000000,-6.852529985145857e-15,1.853259550034695e-14
1167500000,-4.614809978271803e-14,-1.330064789909802e-14
1168000000,7.334884367896135e-07,-3.253312975430054e-07
1168500000,1.108122439141921e-14,-4.681564906885286e-14
1169000000,1.853880160441684e-14,2.995477668242266e-15
1169500000,1.587090000312032e-14,-2.54212062868608e-15
1170000000,1.079661135878219e-14,2.823100153470741e-15
1170500000,9.951834943207594e-15,7.283196170223622e-15
1171000000,1.249356660312654e-14,7.259021441499901e-15
1171500000,-1.202908432649971e-14,2.431425659804046e-14
1172000000,4.409263236179857e-08,-9.614271500330437e-09
